_loc,complexity,_too,volume,_pl,difficulty,_i,effort,bugs,time,total_lines,comments,blanks,unique_operators,unique_operands,total_operators,total_operands,result
27,1,120,557.26,0.08,12.09,46.08,6739.4,0.19,374.41,18,0,6,9,16,77,43,0.2326
65,12,152,824.79,0.04,23.04,35.8,19003.21,0.27,1055.73,48,7,8,18,25,88,64,0.2653
12,1,21,77.71,0.5,2,38.85,155.42,0.03,8.63,7,3,2,4,9,12,9,0.4846
4,1,11,30.88,0.2,5,6.18,154.4,0.01,8.58,2,0,0,5,2,7,4,0.5287
15,1,52,238.42,0.16,6.3,37.84,1502.03,0.08,83.45,8,0,4,9,15,31,21,0.3352
29,9,108,553.96,0.05,21.25,26.07,11771.7,0.18,653.98,19,1,5,17,18,63,45,0.277
14,3,30,122.62,0.12,8.44,14.53,1034.64,0.04,57.48,10,0,2,9,8,15,15,0.3316
223,27,644,4604.44,0.02,57.02,80.75,262548.84,1.53,14586.05,181,6,34,46,96,406,238,0.0568
77,9,168,938.27,0.06,17.55,53.47,16465.18,0.31,914.73,59,8,7,17,31,104,64,0.2552
42,2,144,642.16,0.03,36.83,17.43,23652.83,0.21,1314.05,24,11,5,13,9,93,51,0.3851
45,5,73,374.44,0.08,13.22,28.32,4950.9,0.12,275.05,35,0,8,17,18,45,28,0.1763
39,3,131,710.84,0.06,15.69,45.3,11154.73,0.24,619.71,24,5,7,17,26,83,48,0.3259
32,2,78,396.82,0.09,11.14,35.61,4421.73,0.13,245.65,25,1,4,13,21,42,36,0.2706
46,7,69,320.43,0.11,9.33,34.33,2990.64,0.11,166.15,38,2,4,10,15,41,28,0.255
15,1,44,199.04,0.14,6.92,28.75,1377.95,0.07,76.55,10,0,3,10,13,26,18,0.3195
34,1,80,356.75,0.1,10.42,34.25,3716.19,0.12,206.46,20,5,7,10,12,55,25,0.3668
22,2,45,206.32,0.12,8.03,25.67,1658.52,0.07,92.14,16,0,2,11,13,26,19,0.2726
31,3,77,353.04,0.06,16,22.07,5648.67,0.12,313.82,21,5,3,12,12,45,32,0.3598
11,1,58,258.64,0.17,5.83,44.34,1508.77,0.09,83.82,8,0,1,7,15,33,25,0.3327
15,3,42,178.41,0.06,16.25,10.98,2899.21,0.06,161.07,9,0,4,13,6,27,15,0.3302
11,2,38,166.91,0.18,5.63,29.67,938.86,0.06,52.16,9,0,0,9,12,23,15,0.3335
15,2,39,165.67,0.12,8.33,19.88,1380.58,0.06,76.7,8,1,4,10,9,24,15,0.4051
6,1,32,135.93,0.29,3.46,39.27,470.54,0.05,26.14,4,0,0,6,13,17,15,0.4179
141,28,391,2228.87,0.02,49.79,44.77,110976.25,0.74,6165.35,116,11,11,21,31,244,147,0.1631
102,35,473,2889.33,0.02,50.67,57.03,146392.82,0.96,8132.93,74,12,12,24,45,283,190,0.1952
28,2,81,412.08,0.09,11.76,35.04,4846.9,0.14,269.27,21,4,1,13,21,43,38,0.3435
35,9,129,656.28,0.04,25,26.25,16407.07,0.22,911.5,29,0,4,17,17,79,50,0.1716
7,1,10,30,0.5,2,15,60,0.01,3.33,3,1,1,4,4,6,4,0.8813
11,1,33,144.95,0.23,4.31,33.65,624.38,0.05,34.69,7,0,2,8,13,19,14,0.363
19,2,49,227.55,0.19,5.18,43.96,1177.9,0.08,65.44,14,2,1,8,17,27,22,0.3667
114,15,364,2084.96,0.02,42.69,48.84,88998.14,0.69,4944.34,79,10,23,18,35,198,166,0.2116
4,1,4,8,0.67,1.5,5.33,12,0,0.67,2,0,0,3,1,3,1,1
20,3,68,323.33,0.06,17.5,18.48,5658.32,0.11,314.35,14,0,4,15,12,40,28,0.2702
20,2,56,260.06,0.1,9.82,26.48,2554.12,0.09,141.9,13,2,3,11,14,31,25,0.3697
11,2,20,78.14,0.19,5.25,14.88,410.22,0.03,22.79,9,0,0,9,6,13,7,0.3566
14,2,37,159.91,0.1,9.75,16.4,1559.14,0.05,86.62,8,0,4,12,8,24,13,0.346
58,12,233,1294.22,0.04,27.62,46.86,35747.23,0.43,1985.96,37,3,9,18,29,144,89,0.2266
58,15,327,1899.01,0.02,55.24,34.38,104904.71,0.63,5828.04,50,0,4,25,31,190,137,0.0796
5,1,12,33.69,0.2,5,6.74,168.44,0.01,9.36,3,0,0,5,2,8,4,0.4876
10,1,42,184.48,0.21,4.75,38.84,876.27,0.06,48.68,7,0,1,7,14,23,19,0.3556
21,4,65,327.89,0.11,9.1,36.03,2983.76,0.11,165.76,17,0,2,13,20,37,28,0.2501
4,1,6,15.51,0.4,2.5,6.2,38.77,0.01,2.15,2,0,0,5,1,5,1,0.9433
93,15,204,1113.72,0.03,40,27.84,44548.96,0.37,2474.94,61,20,9,22,22,124,80,0.3108
23,1,84,420,0.2,4.9,85.71,2058,0.14,114.33,15,0,6,7,25,49,35,0.2584
58,6,162,899.84,0.04,25.85,34.82,23257.49,0.3,1292.08,38,7,9,21,26,98,64,0.2929
13,5,55,255.41,0.08,12,21.28,3064.95,0.09,170.27,10,0,1,12,13,29,26,0.3066
66,1,146,840.21,0.11,8.95,93.84,7522.84,0.28,417.94,30,16,9,11,43,76,70,0.3872
